# Undirected graph: ../../data/output/amazon.ungraph.txt
# Amazon
# Nodes: 334863 Edges: 925872
# FromNodeId	ToNodeId
1	88160
1	118052
1	161555
1	244916
1	346495
1	444232
1	447165
1	500600
2	27133
2	62291
2	170507
2	299250
2	326776
2	331042
2	411179
2	451149
2	454888
4	16050
4	286286
4	310803
4	320519
4	408108
4	448284
5	173362
5	305321
5	407216
5	489756
6	162248
6	298989
6	398542
6	495077
7	30028
7	47672
7	355935
8	10758
8	55461
8	60605
8	148586
8	184847
8	242156
8	445607
8	453513
10	80558
10	192929
10	266485
10	500235
10	504757
11	57761
11	107436
11	400957
11	512424
12	386032
15	67084
15	85444
15	252980
15	422732
15	425706
15	428290
16	128935
16	148997
16	422237
17	18919
17	309780
18	41174
18	45026
18	168895
19	203677
20	23251
20	25337
20	61306
20	186932
20	218984
20	412652
20	450610
20	476125
21	17723
21	50332
21	62691
21	96553
21	114681
21	152202
21	166829
21	184384
21	198272
21	234603
21	297444
21	320969
21	340707
21	421307
21	505568
21	528460
21	536600
21	538669
21	545557
21	547758
22	444558
22	511266
22	531052
25	329631
25	483212
25	517449
26	95368
26	295866
26	309111
26	393249
26	410291
26	439826
26	486444
27	172631
27	385665
27	483393
28	319831
28	444973
29	56517
29	103486
29	247356
29	254470
29	260536
29	321434
29	425568
29	515736
31	85159
31	199627
32	207011
32	270841
32	333027
32	362777
34	48917
34	99853
34	197152
35	350166
35	476108
35	519941
38	84467
38	284568
38	458709
38	511273
38	517189
39	150250
39	301347
39	339797
39	412517
39	438351
39	498615
39	517966
42	38007
42	165211
42	202132
42	386937
42	408165
42	546773
43	6893
43	12433
43	30022
43	126893
43	188277
43	231040
43	308852
43	375902
43	439652
45	3604
45	28318
45	179783
45	219010
45	296035
45	477337
45	490336
45	521170
45	537362
46	109564
46	215555
46	352870
46	360354
46	376880
49	11762
49	157925
50	70372
50	104763
50	243355
51	178863
51	268283
51	300840
51	313180
51	360901
51	511008
51	521089
52	298828
52	302996
52	395615
54	144283
54	178505
54	225433
54	418374
54	529701
59	30925
59	194736
59	262789
59	277265
59	340052
59	431010
59	481267
59	491807
59	531181
60	120137
60	127781
60	252349
60	276685
60	355095
60	392511
60	466296
60	488649
60	514374
62	13426
62	73614
62	453178
62	454199
62	478204
63	193813
63	194827
63	405294
63	535431
64	269856
64	328229
64	355213
64	383692
64	484789
64	509737
65	14115
65	78654
66	229430
66	282913
66	362264
68	232063
68	275750
68	321438
68	375036
68	385226
68	409571
68	423059
69	247778
69	267166
69	277220
69	456407
69	507834
69	537914
72	21052
72	45272
72	108832
72	481740
72	528886
73	261014
73	261046
73	282562
73	393723
73	417573
73	483855
74	116363
74	131659
74	465216
75	228933
75	251592
75	254644
75	259591
75	321223
75	335778
75	427746
75	538405
77	24224
77	198860
77	375278
77	383931
78	279748
78	384219
78	481075
78	491183
78	515724
78	540130
79	112757
79	204636
79	326332
79	337430
79	394801
79	410781
79	455780
79	461388
79	501118
79	503991
79	534125
80	66238
80	536715
81	43363
81	171375
81	391605
81	482299
82	156331
82	333487
82	354385
82	433407
82	482506
82	489201
84	172852
84	239294
84	342090
84	384397
84	403527
84	403529
87	57874
87	201899
87	205632
87	336040
87	382874
91	29512
91	127854
91	431465
91	501890
91	505611
92	40437
92	64070
92	132812
92	164918
92	252338
92	276928
92	350476
92	351486
92	470964
92	479613
94	18099
94	35727
94	56860
94	66006
94	95611
94	172306
94	218491
94	250477
94	274208
94	287331
94	341034
94	430960
94	519463
94	539646
96	20162
96	299860
96	381461
96	517730
96	524600
98	466991
99	105529
99	119706
99	217307
99	242681
99	391072
99	516049
99	539513
100	241930
100	361820
100	371094
101	124786
101	186707
101	466129
102	74829
102	230648
102	262149
103	1352
103	59678
103	296265
103	522667
104	12639
104	245271
105	158412
105	178295
105	278985
105	490079
105	520172
105	529552
107	232639
107	285961
107	289519
107	360817
107	513301
108	34214
108	176280
108	234888
108	412749
108	493281
109	60460
109	176507
109	378941
109	414695
110	181908
110	382768
110	422235
113	64155
113	361946
113	502627
113	523735
118	239878
118	240783
118	261048
119	28735
119	465247
120	3458
120	6713
120	30203
120	55862
120	56223
120	57583
120	70756
120	103417
120	155733
120	188997
120	201760
120	223694
120	231855
120	233426
120	241189
120	267435
120	274204
120	275523
120	295306
120	298390
120	301450
120	315530
120	323934
120	348014
120	352488
120	354554
120	373520
120	374026
120	396771
120	402841
120	433981
120	440278
120	509114
120	540159
121	10489
121	123930
121	161171
121	497266
121	537757
124	243477
124	302516
124	318491
124	320027
124	366784
127	65255
127	183055
127	235419
127	259165
127	285305
127	363032
127	502306
128	26513
128	350694
128	374193
128	441002
128	530340
129	1903
129	67305
129	155050
129	283539
129	284912
129	321461
129	326338
129	369958
129	418267
129	466063
129	512231
129	514898
130	81171
130	118258
130	138401
130	142933
130	306529
130	315878
130	354603
130	375989
130	469899
130	494699
130	499782
130	525987
130	527813
130	544300
131	66154
131	104439
131	541739
132	114810
132	224509
132	340592
132	426678
132	489563
133	218320
133	297906
133	297907
133	330045
136	72587
136	89697
136	317071
136	438656
137	103751
137	133868
137	164998
137	194140
138	128038
138	218905
141	5376
141	275942
141	294503
141	438494
144	63130
144	330411
144	445344
145	247390
145	386761
145	493340
146	213209
146	341722
146	435135
147	96395
147	126666
147	190435
147	192099
147	204201
147	221209
147	253571
147	388948
147	401824
147	430959
147	461990
147	496844
147	511218
149	548083
153	23292
153	41491
153	166009
153	390370
153	542975
153	543006
153	545358
153	546604
153	547082
154	14517
154	189203
154	275852
154	281719
154	288626
155	75942
155	242860
155	341904
155	490181
158	90695
158	545659
158	546953
162	40061
162	70711
162	131153
162	297741
162	362376
162	473054
163	106918
163	294641
163	393938
164	98552
164	392400
164	494609
165	59231
165	67842
165	101737
165	233956
166	487701
166	512510
167	2928
167	120872
167	127427
167	397035
167	487177
167	541778
170	215543
170	337804
170	377446
172	120067
172	191551
172	367568
172	392009
172	490922
173	163125
173	324744
173	425568
174	15921
176	46460
176	131232
176	132531
176	132725
176	182209
176	201855
176	321841
176	347858
176	533157
178	35468
178	348269
178	423191
178	447111
178	519993
179	338007
179	521020
180	28001
180	219583
180	508984
180	534474
181	55768
182	88227
185	367153
185	428888
185	530084
186	89759
186	333883
186	427670
186	530681
187	69706
187	99838
187	233210
187	252981
187	289571
187	462399
189	27449
189	331190
189	333858
190	34494
190	265965
190	535565
193	1318
193	180577
193	204055
193	210618
193	339791
193	530038
196	18441
196	45123
196	204725
196	228496
196	289292
196	481322
196	511970
198	63132
198	115834
198	186548
198	239327
198	294337
199	17752
199	27125
199	27673
199	35460
199	148489
199	165308
199	180211
199	280116
199	329644
199	381182
199	416311
199	504701
199	522987
199	533752
200	96104
200	316689
200	517738
200	526223
201	119786
201	149004
201	164544
201	384771
203	14788
203	202940
203	231566
203	303764
203	444836
207	440045
207	517547
211	6760
211	28778
212	2049
212	18921
212	100068
212	236889
212	261870
212	282323
212	320151
212	423586
214	88727
214	251683
214	310727
215	180578
215	273076
215	279005
215	503196
220	51907
220	75243
220	345057
220	462630
220	471202
221	110214
221	301170
222	284825
224	40399
224	82840
224	425324
224	510903
225	54048
225	125250
225	218131
225	359546
225	415407
225	423781
225	510009
230	63824
230	110070
230	209330
230	295490
230	299537
230	320845
230	474442
230	531154
232	194723
232	269287
232	311079
232	407042
232	422952
233	27532
233	247393
233	316528
239	49153
239	180729
239	243521
239	358255
239	400275
239	419022
239	514822
239	529884
241	61712
241	104703
241	339572
241	486708
241	510009
242	395268
242	462059
242	501048
244	142987
244	314794
244	356172
244	363077
244	417631
246	103415
246	286091
246	315325
246	448907
248	201746
248	419053
248	436875
249	90010
249	274409
249	277359
249	313147
249	405502
249	408687
249	458090
249	483744
250	38917
250	79024
250	114249
250	184926
250	209461
250	302978
250	328775
250	344630
250	349715
250	412302
250	440262
250	458647
251	133857
251	227688
251	231534
251	232421
251	463539
251	545796
252	17838
252	19119
252	30038
252	84301
252	141482
252	153166
252	225668
252	287268
252	312147
252	352789
252	379280
252	397159
252	413713
252	413714
252	488936
252	503746
252	524691
252	533878
254	547522
254	548091
255	57654
255	97124
255	428865
255	487320
255	516543
256	27567
256	178765
256	257653
257	54999
257	70845
257	95480
257	176397
257	208459
257	239652
257	494839
257	524833
259	78803
259	411375
261	51447
261	202605
261	336421
261	438723
261	500424
263	296929
263	421538
264	162283
265	89926
265	145733
265	182045
265	202368
265	205069
265	226672
265	312767
265	331030
265	345355
265	441138
265	460219
265	489725
265	512156
265	528577
268	34730
268	45198
268	59308
268	69049
268	84587
268	133352
268	168560
268	282378
268	314877
268	389632
268	494032
268	543333
269	126528
269	171866
269	338786
269	423337
269	434500
271	254656
271	392903
271	466333
271	522498
272	36149
272	152980
272	188235
272	396638
272	429862
272	514806
272	540233
273	373466
273	448802
273	536140
274	80687
274	109982
274	268396
274	333156
274	334559
274	338211
274	361771
274	384232
274	464269
274	509613
275	8261
275	27993
275	39459
275	46258
275	50518
275	68836
275	78788
275	80241
275	89564
275	165989
275	179320
275	223042
275	229044
275	243640
275	246958
275	253757
275	268540
275	281620
275	350243
275	363293
275	369052
275	389784
275	393194
275	394773
275	396546
275	423938
275	435165
275	441163
275	448386
275	484080
275	501108
275	506204
276	201177
276	368466
277	42535
277	57896
277	60574
278	79870
279	14884
279	143969
279	291519
279	385628
279	392494
279	508815
282	270494
284	101809
284	416063
285	217006
287	26122
287	214631
287	502086
287	515142
294	320987
296	7292
296	28253
296	88015
296	109374
296	245159
296	272356
296	285678
296	338194
296	352846
296	376858
296	423854
296	424705
296	441565
296	465697
296	513357
296	530296
296	531155
296	532042
299	63705
299	121035
299	195243
299	269280
299	294539
302	28823
302	52415
302	56086
302	96977
302	141020
302	158481
302	269960
302	335827
302	371617
302	395825
302	407924
302	464164
302	472073
302	524550
302	528109
303	61766
303	179624
303	471548
304	59803
304	249874
304	259940
304	275213
304	291896
304	334218
304	385318
304	409975
304	417668
305	107041
305	245085
307	17814
307	352421
307	451164
307	536147
307	537772
311	342126
311	365188
311	390001
312	1966
312	372055
312	510858
313	122205
314	253764
314	255919
314	270081
314	439751
316	13705
316	131848
317	296568
321	137245
322	78012
322	94601
322	172911
322	328359
322	330738
322	354163
322	457547
322	484406
322	487608
323	108397
323	129326
323	400145
323	503508
324	131903
324	354904
326	76426
326	183304
326	329986
326	370382
326	386097
327	89759
329	10968
329	173164
329	199158
329	260271
329	376777
330	263387
331	37529
331	45138
331	99689
331	220254
331	246275
333	15915
333	481828
334	8921
334	52091
334	77361
334	130113
334	148201
334	158037
334	183083
334	183666
334	203729
334	252457
334	312047
334	355083
334	379069
334	414129
335	4885
335	15475
335	39139
335	69004
335	72456
335	104328
335	133045
335	135513
335	180885
335	183524
335	197083
335	219268
335	229909
335	263501
335	293721
335	321873
335	337638
335	346358
335	396069
335	403977
335	408820
335	420867
335	439673
335	467866
338	21904
338	38921
338	123074
338	170571
338	406972
338	432247
341	41489
341	83170
341	350726
341	380018
341	394571
343	9573
343	14883
343	18779
343	34562
343	36520
343	50454
343	57020
343	64552
343	66455
343	83131
343	100690
343	106272
343	156860
343	157932
343	228586
343	262157
343	263330
343	276930
343	277017
343	277145
343	312597
343	321136
343	321434
343	358939
343	387917
343	389593
343	407608
343	435389
343	457967
343	476611
343	502687
343	525768
344	14990
344	28082
344	31266
344	36590
344	49921
344	50030
344	58921
344	65939
344	66122
344	67478
344	72255
344	86800
344	87323
344	90940
344	93243
344	101292
344	104151
344	107349
344	111113
344	117497
344	119526
344	134770
344	148771
344	161808
344	167637
344	200312
344	203300
344	204976
344	208639
344	242594
344	257345
344	258093
344	262301
344	272667
344	279750
344	282726
344	309605
344	313299
344	318015
344	320384
344	340757
344	356778
344	359013
344	366459
344	373253
344	377604
344	379303
344	382508
344	385262
344	386367
344	387746
344	393644
344	400431
344	412781
344	413513
344	427413
344	435632
344	438079
344	441932
344	446922
344	447276
344	462073
344	462096
344	465499
344	470292
344	474801
344	479085
344	479372
344	512697
344	513173
344	514533
344	532936
345	109402
345	267295
345	348110
345	390296
345	461249
345	476508
347	7575
347	72168
347	150839
347	151582
347	163304
347	164925
347	189548
347	209035
347	214834
347	239625
347	247110
347	259805
347	347049
347	490421
347	490845
347	533538
349	37216
349	220969
349	340505
349	535818
349	543799
350	20601
350	78170
350	285520
350	446330
351	224318
351	395692
352	390199
353	187690
354	23661
354	40797
354	196934
354	274310
354	514326
358	47632
358	97988
358	267454
358	276137
358	370026
358	428694
358	445342
359	88388
359	335784
359	356512
359	429320
359	479351
359	499471
360	109154
360	349248
360	379260
360	383009
362	132290
362	232207
362	315456
362	433487
362	471549
362	471551
362	471552
363	366
363	2249
363	179872
363	286571
363	339819
363	420407
363	518925
364	3173
364	49522
364	311886
364	428179
365	15835
365	146930
365	377973
365	381230
366	2249
366	20880
366	154675
366	173406
366	179871
366	179872
366	286573
366	339819
366	388255
366	420407
366	518925
366	518930
366	542387
367	67749
367	208683
367	345756
367	493239
369	122701
369	182101
369	249335
369	272478
369	296398
369	296399
369	296401
369	344160
369	364682
369	398287
369	463267
369	498503
369	530176
369	539970
370	496539
371	272478
371	296398
372	232843
374	188562
374	344415
374	457356
374	480839
376	37854
376	165173
376	184638
376	286458
376	300230
376	329614
376	526841
376	529883
376	541110
377	313739
377	318861
377	351976
379	142997
379	170019
379	192179
379	498505
379	546620
382	27385
382	333076
382	357356
382	529366
385	29466
385	58758
385	415771
385	416769
385	470610
385	480776
386	2354
386	144042
386	199948
390	132571
390	183443
390	252589
390	389397
390	529131
391	108462
391	512644
392	82314
392	95778
392	232607
392	308438
392	310672
392	352359
392	353027
392	450133
393	33068
393	37024
393	65858
393	70352
393	75474
393	85179
393	110167
393	117646
393	138333
393	168657
393	235469
393	318455
393	323071
393	345489
393	372945
393	388731
393	420630
393	488057
393	517644
395	46295
395	203216
395	417281
396	123642
396	216151
396	226877
396	243410
396	377805
396	465509
396	514683
396	523484
397	18869
397	22210
397	386581
398	48655
398	132572
398	148166
398	224844
398	404876
399	98860
399	232015
399	239254
399	531353
401	102678
401	361633
401	426137
401	441386
403	157875
403	201021
403	201022
403	201023
403	361614
403	361617
404	153382
404	157177
404	412859
404	475707
405	91716
405	291777
405	404202
405	531140
408	17854
408	69519
408	73780
408	76381
408	120838
408	123718
408	141744
408	173328
408	198409
408	212097
408	219571
408	238719
408	257609
408	281117
408	293442
408	295349
408	323974
408	341668
408	417072
408	430741
408	437175
408	453261
408	467235
408	477082
408	527065
408	527744
408	541452
409	30463
409	54826
409	57869
409	76959
409	161083
409	379588
409	425485
409	540068
411	25558
411	111832
411	172588
411	172609
411	536250
411	536254
413	8635
413	51227
413	67796
413	83213
413	97542
413	153359
413	169809
413	220193
413	233810
413	262020
413	325006
413	427096
413	445663
413	480022
413	493470
414	31823
414	265606
414	362149
414	363232
414	410079
414	501100
418	82079
418	319831
418	367957
418	468633
420	8390
420	28954
420	144552
420	318889
420	328593
422	170849
422	451122
422	535138
423	4497
423	148152
423	349662
423	397672
423	421105
423	445021
424	317710
425	119433
425	120533
425	149347
425	442820
426	21074
426	56894
426	57083
426	60296
426	149402
426	229323
426	273452
426	290644
426	298109
426	335707
426	339027
426	363243
426	369697
426	387009
426	412325
426	468631
426	504224
426	524463
431	414727
434	32499
434	40152
434	50733
434	424320
435	26279
435	140443
435	197025
435	240570
435	247123
435	285244
435	379703
435	411789
435	471853
435	473040
435	530558
437	143610
437	323055
437	466885
439	199628
439	211042
439	317053
439	360318
439	440418
441	218444
441	350732
441	383047
442	80452
442	132282
442	147120
442	261864
442	331697
442	374856
442	410311
442	424732
442	436936
442	444980
442	446495
442	459662
442	524878
443	30669
443	128705
443	139954
443	185636
443	216567
444	442848
444	526479
448	28123
448	52713
448	55701
448	56684
448	75848
448	80796
448	104366
448	114138
448	131874
448	154321
448	158327
448	203546
448	260305
448	334420
448	334588
448	338300
448	362528
448	366149
448	375133
448	389968
448	396362
448	410087
448	455467
448	471848
448	475036
448	504629
448	519832
448	520877
448	525658
450	16918
450	32132
450	56540
450	73811
450	186396
450	251637
450	282321
450	350181
450	379911
450	456631
451	364283
451	379763
453	11551
453	37851
453	148367
453	377970
453	379264
453	408878
456	5761
456	312502
456	447478
456	538252
457	14016
457	119794
457	272694
457	303563
457	314776
457	366178
458	460
458	15592
458	113055
458	273567
458	316123
458	365325
458	493359
459	14016
459	119794
459	272694
459	303563
460	193807
461	189004
461	235371
461	351409
461	515967
461	527805
462	135795
462	379317
464	88881
464	133025
464	406606
464	488388
466	33182
466	172760
466	185649
466	269866
467	154855
467	239345
467	288047
467	295663
467	317600
467	345225
467	500594
467	515865
468	41830
468	96092
468	489985
468	524832
470	115122
470	163987
470	214288
470	270744
470	270747
470	284219
471	145755
471	172196
471	183112
471	188290
471	291764
471	309030
471	381047
471	429058
471	432656
471	438544
471	468322
472	199500
472	322656
472	421045
472	435754
472	512170
473	8278
473	120588
473	478908
474	235764
475	117530
475	129423
475	178383
475	179430
475	226275
475	325411
475	378044
475	394735
476	61335
476	483580
477	59941
477	150233
477	228623
477	229189
477	383751
478	111050
478	142487
478	415277
478	480166
478	538323
479	293128
479	310453
479	332044
479	422085
480	12584
480	61709
480	99547
480	111700
480	219235
480	224180
480	253796
480	258848
480	271719
480	291376
480	293072
480	296282
480	321511
480	327795
480	379560
480	412371
480	426227
480	429529
480	438745
480	484136
480	489666
480	489667
480	499621
480	501450
480	515720
480	531564
483	170971
483	262834
483	269877
483	275317
483	415228
483	437887
483	518877
484	102358
484	239327
484	454874
485	486
485	2995
485	320882
485	531523
485	531564
486	5510
486	16366
486	29039
486	39708
486	44392
486	48443
486	73115
486	84124
486	103945
486	113793
486	114279
486	116201
486	157164
486	173801
486	274850
486	285420
486	320847
486	320882
486	340056
486	347489
486	360124
486	388279
486	394855
486	398100
486	426172
486	509916
486	536898
488	25892
488	93145
488	413027
489	86081
492	4373
492	94874
492	394569
492	425693
493	281038
493	299406
493	435532
493	495991
494	51907
494	186630
494	319831
494	379640
494	387806
494	419356
494	475770
494	476780
495	56539
495	57686
495	75250
495	99409
495	111733
495	153247
495	187251
495	204345
495	277146
495	321474
495	324232
495	345615
495	428411
495	483121
495	518026
495	539419
496	114722
496	181419
496	260753
496	372406
496	404176
496	425568
498	72130
498	196723
498	243621
499	175372
499	313733
499	313735
499	546691
500	94156
500	179049
500	377514
500	468226
501	123011
501	263333
501	482004
501	528964
502	121819
502	149717
502	239453
502	328834
502	428606
504	53580
504	387280
504	401270
504	507477
504	524817
505	88900
505	188346
505	204672
505	216189
505	269439
505	333367
507	357795
507	477535
507	484424
507	546384
509	80535
509	272686
509	313285
509	469577
509	523103
510	128281
510	155836
510	277442
510	420678
510	508092
513	225070
513	370707
513	397974
513	518680
514	71838
514	134983
514	349602
514	372205
514	434973
514	475216
515	73939
515	130633
515	133398
515	356149
515	359879
517	209579
517	237040
517	262792
517	276157
517	299991
517	362204
517	365895
517	365919
517	391531
518	92585
518	188108
518	188119
518	489698
520	37040
520	160727
520	379496
521	127332
521	169697
521	173687
521	174097
521	233313
521	235362
521	281396
521	289195
521	356349
521	404185
522	24035
522	88646
522	89460
522	91443
522	102651
522	103784
522	113212
522	176606
522	208902
522	255989
522	321372
522	349604
522	352734
522	357949
522	357974
522	372205
522	425001
522	437738
522	441528
522	469659
522	489978
522	499230
522	508614
522	544708
524	100107
524	140784
524	205489
524	219140
524	287091
524	420454
524	443931
524	477965
524	515921
532	20162
532	273310
532	465082
534	421593
534	531198
537	57481
537	95746
537	320774
537	358403
537	480856
538	45288
538	62682
538	371321
539	215309
540	72459
540	94676
540	184663
540	300223
540	342241
540	369659
540	370312
540	506956
543	75997
543	111918
543	150102
543	155048
543	309931
543	328668
543	354854
543	372648
543	423425
543	492630
543	514778
543	529222
543	530183
545	193247
545	279260
545	404495
547	30923
547	70092
547	94266
547	269175
548	15964
548	70286
548	102178
548	235466
548	404531
548	448945
548	461622
550	167291
550	461564
550	480491
556	108977
557	16058
557	79069
557	146998
557	324784
557	325692
557	480986
557	490039
559	140996
559	329109
