Label,Kind,Ops,Bytes_MB,Time_ms,AvgSize_KB,MaxSize_KB,BW_GBs
3y/1%,H2D,178833,215.4780,155.8267,1.20,40514.24,1.3828
3y/1%,UVM_H2D,136,4.7186,0.4206,34.70,233.47,11.2182
3y/1%,D2H,59611,4.5134,143.3627,0.08,160.48,0.0315
3y/1%,UVM_D2H,69,2.5559,0.2210,37.04,126.98,11.5658
3y/3%,H2D,547041,237.9837,442.8495,0.44,42968.96,0.5374
3y/3%,UVM_H2D,718,14.1558,2.0547,19.72,966.66,6.8896
3y/3%,D2H,182347,13.7119,439.2077,0.08,500.64,0.0312
3y/3%,UVM_D2H,91,9.8304,0.4121,108.03,978.94,23.8535
3y/5%,H2D,929844,261.3098,745.0500,0.28,45520.88,0.3507
3y/5%,D2H,309952,23.3994,764.1550,0.08,867.07,0.0306
3y/5%,UVM_H2D,576,20.1851,1.8265,35.04,974.85,11.0514
3y/5%,UVM_D2H,181,11.4033,0.6703,63.00,520.19,17.0114
3y/6%,H2D,1126800,273.1157,900.3304,0.24,46833.92,0.3034
3y/6%,D2H,375604,28.2824,923.8053,0.08,1060.42,0.0306
3y/6%,UVM_H2D,855,23.9206,2.6032,27.98,995.33,9.1888
3y/6%,UVM_D2H,197,15.3354,0.7802,77.84,978.94,19.6546
10y/1%,H2D,617430,785.5366,542.4909,1.27,43436.96,1.4480
10y/1%,UVM_H2D,447,15.7286,1.3594,35.19,237.57,11.5706
10y/1%,D2H,205810,15.3121,486.2477,0.07,172.03,0.0315
10y/1%,UVM_D2H,237,8.5197,0.7380,35.95,126.98,11.5440
10y/3%,H2D,2028882,1019.3181,1663.5186,0.50,52846.64,0.6127
10y/3%,D2H,676294,50.9114,1601.1641,0.08,615.71,0.0318
10y/3%,UVM_H2D,1792,43.3848,5.1336,24.21,1015.81,8.4512
10y/3%,UVM_D2H,291,28.6392,1.2515,98.42,1044.48,22.8843
10y/5%,H2D,3709871,1285.7975,2986.4566,0.35,64052.80,0.4305
10y/5%,D2H,1236641,92.7226,2996.2695,0.07,1220.06,0.0309
10y/5%,UVM_H2D,2908,77.4636,8.4130,26.64,1019.90,9.2076
10y/5%,UVM_D2H,614,47.1204,2.3977,76.74,1044.48,19.6524
10y/6%,H2D,4665139,1435.3598,3737.2921,0.31,70421.12,0.3841
10y/6%,D2H,1555069,117.0986,3768.8089,0.08,1594.46,0.0311
10y/6%,UVM_H2D,3864,103.4158,11.5546,26.76,995.33,8.9502
10y/6%,UVM_D2H,800,66.5190,3.2179,83.15,1044.48,20.6719
30y/1%,H2D,2052750,3010.1118,1878.6139,1.47,53002.16,1.6023
30y/1%,D2H,684250,51.5686,1651.9371,0.08,209.92,0.0312
30y/1%,UVM_H2D,1499,48.1034,4.6007,32.09,520.19,10.4558
30y/1%,UVM_D2H,598,27.5251,2.0140,46.03,323.58,13.6668
30y/3%,H2D,8419760,5734.1949,7133.0152,0.68,95448.16,0.8039
30y/3%,D2H,2806616,210.6002,6882.4751,0.08,1112.03,0.0306
30y/3%,UVM_H2D,6976,183.7629,21.0101,26.34,1044.48,8.7464
30y/3%,UVM_D2H,1489,115.8021,5.9849,77.77,1044.48,19.3491
30y/5%,H2D,19595871,10109.4906,16137.4796,0.52,169952.40,0.6265
30y/5%,D2H,6532113,493.4514,16193.0416,0.08,3237.22,0.0305
30y/5%,UVM_H2D,16203,469.1067,47.8091,28.95,1040.38,9.8121
30y/5%,UVM_D2H,4245,279.2489,15.9071,65.78,1044.48,17.5550
30y/6%,H2D,27981074,13153.3320,22943.0985,0.47,225851.12,0.5733
30y/6%,D2H,9327286,701.5668,23147.3433,0.08,5113.63,0.0303
30y/6%,UVM_H2D,24013,697.6307,69.9508,29.05,1044.48,9.9732
30y/6%,UVM_D2H,6795,440.5330,25.3274,64.83,1044.48,17.3935
