Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
3y/1%,kernelErdosRenyiGNP,3,89.2568,29.75228,29.45961,30.04656,256,20,63,0,0,0,50.0,reg,100.00
3y/3%,kernelErdosRenyiGNP,3,91.1285,30.37617,29.49039,31.26428,256,60,63,0,0,0,50.0,reg,100.00
3y/5%,kernelErdosRenyiGNP,3,92.9287,30.97625,29.48338,32.50060,256,101,63,0,0,0,50.0,reg,100.00
3y/6%,kernelErdosRenyiGNP,3,93.9026,31.30085,29.49173,33.14547,256,123,63,0,0,0,50.0,reg,100.00
10y/1%,kernelErdosRenyiGNP,10,308.0823,30.80823,29.46470,32.18803,256,20,63,0,0,0,50.0,reg,100.00
10y/3%,kernelErdosRenyiGNP,10,337.7903,33.77903,29.48602,38.42767,256,66,63,0,0,0,50.0,reg,100.00
10y/5%,kernelErdosRenyiGNP,10,386.6091,38.66091,29.50171,51.27741,256,121,63,0,0,0,50.0,reg,100.00
10y/6%,kernelErdosRenyiGNP,10,421.2531,42.12531,29.27720,55.44846,256,152,63,0,0,0,50.0,reg,100.00
30y/1%,kernelErdosRenyiGNP,30,1017.9888,33.93296,29.24643,39.08165,256,22,63,0,0,0,50.0,reg,100.00
30y/3%,kernelErdosRenyiGNP,30,1400.6561,46.68854,29.32846,77.33526,256,91,63,0,0,0,50.0,reg,100.00
30y/5%,kernelErdosRenyiGNP,30,2344.1151,78.13717,29.27233,161.87110,256,213,63,0,0,0,50.0,reg,100.00
30y/6%,kernelErdosRenyiGNP,30,3619.2954,120.64318,29.51403,372.48807,256,304,63,0,0,0,50.0,reg,100.00
