Label,Kind,Ops,Bytes_MB,Time_ms,AvgSize_KB,MaxSize_KB,BW_GBs
3y/1%,D2H,29798,6.9183,68.2268,0.23,160.48,0.1014
3y/1%,H2D,29798,0.6554,23.1497,0.02,160.48,0.0283
3y/3%,D2H,91166,21.5635,208.8306,0.24,500.64,0.1033
3y/3%,H2D,91166,2.0055,70.6019,0.02,500.64,0.0284
3y/5%,D2H,154964,37.3203,355.2687,0.24,867.07,0.1050
3y/5%,H2D,154964,3.4091,119.9232,0.02,867.07,0.0284
3y/6%,D2H,187790,45.6424,431.9785,0.24,1060.42,0.1057
3y/6%,H2D,187790,4.1312,145.4241,0.02,1060.42,0.0284
10y/1%,D2H,102880,24.6764,240.6244,0.24,172.03,0.1026
10y/1%,H2D,102880,2.2629,79.9671,0.02,172.03,0.0283
10y/3%,D2H,338122,88.2103,791.3352,0.26,615.71,0.1115
10y/3%,H2D,338122,7.4382,262.1280,0.02,615.71,0.0284
10y/5%,D2H,618276,176.8508,1460.1868,0.29,1220.06,0.1211
10y/5%,H2D,618276,13.6016,479.4128,0.02,1220.06,0.0284
10y/6%,D2H,777484,233.4709,1852.8787,0.30,1594.46,0.1260
10y/6%,H2D,777484,17.1042,602.7341,0.02,1594.46,0.0284
30y/1%,D2H,342050,90.1960,800.0618,0.26,209.92,0.1127
30y/1%,H2D,342050,7.5238,265.7337,0.02,209.92,0.0283
30y/3%,D2H,1403200,513.3975,3320.1229,0.37,1112.03,0.1546
30y/3%,H2D,1403200,30.8691,1088.9362,0.02,1112.03,0.0283
30y/5%,D2H,3265806,1777.7817,7918.8786,0.54,3237.22,0.2245
30y/5%,H2D,3265806,71.8464,2532.1750,0.02,3237.22,0.0284
30y/6%,D2H,4663274,3159.8300,11460.8003,0.68,5113.63,0.2757
30y/6%,H2D,4663274,102.5907,3620.9653,0.02,5113.63,0.0283
