Label,Session_ms,Kernel_ms,Memcpy_ms,GPU_util_pct,Memcpy_ovh_pct,Total_MB,EffBW_GBs,BW_pct,Kernel_launches,Sync_ms,Profiler_ovh_ms
3y/1%,10558.501,89.257,91.377,0.85,102.37,7.574,0.0830,0.00250,3,89.253,112.492
3y/3%,13536.828,91.129,279.432,0.67,306.64,23.569,0.0840,0.00250,3,91.122,111.257
3y/5%,15999.546,92.929,475.192,0.58,511.35,40.729,0.0860,0.00260,3,92.924,108.440
3y/6%,17848.186,93.903,577.403,0.53,614.90,49.774,0.0860,0.00260,3,93.892,110.616
10y/1%,19246.318,308.082,320.592,1.60,104.06,26.939,0.0840,0.00250,10,311.429,104.466
10y/3%,30054.477,337.790,1053.463,1.12,311.87,95.649,0.0910,0.00270,10,337.791,120.936
10y/5%,43558.648,386.609,1939.600,0.89,501.70,190.452,0.0980,0.00290,10,386.610,109.018
10y/6%,51837.148,421.253,2455.613,0.81,582.93,250.575,0.1020,0.00300,10,421.240,120.416
30y/1%,50420.863,1017.989,1065.795,2.02,104.70,97.720,0.0920,0.00270,30,1017.963,125.392
30y/3%,114904.730,1400.656,4409.059,1.22,314.79,544.267,0.1230,0.00370,30,1400.678,134.231
30y/5%,254930.722,2344.115,10451.054,0.92,445.84,1849.628,0.1770,0.00530,30,2344.147,185.581
30y/6%,366934.677,3619.295,15081.766,0.99,416.70,3262.421,0.2160,0.00650,30,3619.347,196.735
