Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
3y/1%,kernelErdosRenyiGNP,3,148.3463,49.44878,47.61315,52.64394,256,20,58,0,0,0,50.0,reg,100.00
3y/3%,kernelErdosRenyiGNP,3,214.4349,71.47831,69.26758,74.14857,256,60,58,0,0,0,50.0,reg,100.00
3y/5%,kernelErdosRenyiGNP,3,220.0101,73.33669,67.09577,82.52752,256,101,58,0,0,0,50.0,reg,100.00
3y/6%,kernelErdosRenyiGNP,3,327.7080,109.23600,103.35795,115.41605,256,123,58,0,0,0,50.0,reg,100.00
10y/1%,kernelErdosRenyiGNP,10,498.7991,49.87991,47.69846,52.64538,256,20,58,0,0,0,50.0,reg,100.00
10y/3%,kernelErdosRenyiGNP,10,774.6410,77.46410,69.24904,87.22355,256,66,58,0,0,0,50.0,reg,100.00
10y/5%,kernelErdosRenyiGNP,10,1154.6055,115.46055,70.39425,159.36575,256,121,58,0,0,0,50.0,reg,100.00
10y/6%,kernelErdosRenyiGNP,10,1532.9033,153.29033,114.75743,228.18755,256,152,58,0,0,0,50.0,reg,100.00
30y/1%,kernelErdosRenyiGNP,30,1644.9808,54.83269,47.62006,62.89818,256,22,58,0,0,0,50.0,reg,100.00
30y/3%,kernelErdosRenyiGNP,30,3761.0228,125.36743,68.93024,241.12731,256,91,58,0,0,0,50.0,reg,100.00
30y/5%,kernelErdosRenyiGNP,30,11501.4645,383.38215,74.34408,1098.39374,256,213,58,0,0,0,50.0,reg,100.00
30y/6%,kernelErdosRenyiGNP,30,19404.2796,646.80932,114.75230,2158.24591,256,304,58,0,0,0,50.0,reg,100.00
