Label,Kind,Ops,Bytes_MB,Time_ms,AvgSize_KB,MaxSize_KB,BW_GBs
3y/1%,D2H,29798,6.9183,33.9438,0.23,160.48,0.2038
3y/1%,H2D,29798,0.6554,13.6012,0.02,160.48,0.0482
3y/3%,D2H,91166,21.5635,109.6886,0.24,500.64,0.1966
3y/3%,H2D,91166,2.0055,41.5625,0.02,500.64,0.0483
3y/5%,D2H,154964,37.3203,186.1570,0.24,867.07,0.2005
3y/5%,H2D,154964,3.4091,70.6111,0.02,867.07,0.0483
3y/6%,D2H,187790,45.6424,225.3437,0.24,1060.42,0.2025
3y/6%,H2D,187790,4.1312,82.6416,0.02,1060.42,0.0500
10y/1%,D2H,102880,24.6764,117.0532,0.24,172.03,0.2108
10y/1%,H2D,102880,2.2629,45.7637,0.02,172.03,0.0494
10y/3%,D2H,338122,88.2103,402.6989,0.26,615.71,0.2190
10y/3%,H2D,338122,7.4382,150.0816,0.02,615.71,0.0496
10y/5%,D2H,618276,176.8508,744.5561,0.29,1220.06,0.2375
10y/5%,H2D,618276,13.6016,277.2384,0.02,1220.06,0.0491
10y/6%,D2H,777484,233.4709,934.9647,0.30,1594.46,0.2497
10y/6%,H2D,777484,17.1042,347.6707,0.02,1594.46,0.0492
30y/1%,D2H,342050,90.1960,395.3937,0.26,209.92,0.2281
30y/1%,H2D,342050,7.5238,150.8943,0.02,209.92,0.0499
30y/3%,D2H,1403200,513.3975,1704.9085,0.37,1112.03,0.3011
30y/3%,H2D,1403200,30.8691,626.2612,0.02,1112.03,0.0493
30y/5%,D2H,3265806,1777.7817,3963.5109,0.54,3237.22,0.4485
30y/5%,H2D,3265806,71.8464,1463.7964,0.02,3237.22,0.0491
30y/6%,D2H,4663274,3159.8300,5680.1653,0.68,5113.63,0.5563
30y/6%,H2D,4663274,102.5907,2107.0964,0.02,5113.63,0.0487
