Label,Session_ms,Kernel_ms,Memcpy_ms,GPU_util_pct,Memcpy_ovh_pct,Total_MB,EffBW_GBs,BW_pct,Kernel_launches,Sync_ms,Profiler_ovh_ms
3y/1%,14323.398,148.346,47.545,1.04,32.05,7.574,0.1590,0.02180,3,148.339,490.982
3y/3%,18825.707,214.435,151.251,1.14,70.53,23.569,0.1560,0.02130,3,214.432,431.434
3y/5%,22575.500,220.010,256.768,0.97,116.71,40.729,0.1590,0.02170,3,220.038,447.144
3y/6%,25078.535,327.708,307.985,1.31,93.98,49.774,0.1620,0.02210,3,327.755,432.348
10y/1%,22826.334,498.799,162.817,2.19,32.64,26.939,0.1650,0.02260,10,498.772,414.602
10y/3%,37831.211,774.641,552.781,2.05,71.36,95.649,0.1730,0.02360,10,774.623,411.703
10y/5%,56085.451,1154.605,1021.795,2.06,88.50,190.452,0.1860,0.02550,10,1154.771,431.983
10y/6%,70091.365,1532.903,1282.635,2.19,83.67,250.575,0.1950,0.02670,10,1533.083,452.867
30y/1%,65839.988,1644.981,546.288,2.50,33.21,97.720,0.1790,0.02440,30,1645.033,431.860
30y/3%,181870.308,3761.023,2331.170,2.07,61.98,544.267,0.2330,0.03190,30,3761.151,423.325
30y/5%,441954.138,11501.464,5427.307,2.60,47.19,1849.628,0.3410,0.04650,30,11502.072,441.177
30y/6%,523728.073,19404.280,7787.262,3.71,40.13,3262.421,0.4190,0.05720,30,19404.816,443.441
