Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
3y/1%,Stage1,3,3079.8563,1026.61876,981.86743,1060.15292,16,20,110,0,0,0,28.1,reg,82.81
3y/1%,Stage3,3,365.1350,121.71167,115.63383,125.07576,16,20,118,0,0,0,26.6,reg,9.82
3y/1%,cuco::insert,3,221.1100,73.70333,69.84244,80.63432,128,15670,36,48,0,0,75.0,shmem,5.95
3y/1%,Stage2,3,31.1978,10.39928,8.16769,12.81956,16,20,118,0,0,0,26.6,reg,0.84
3y/1%,cuco::init,14899,18.1656,0.00122,0.00109,0.00163,256,1,16,0,0,0,100.0,thr,0.49
3y/1%,Stage4,3,3.1409,1.04697,1.00941,1.08314,16,20,107,0,0,0,28.1,reg,0.08
3y/1%,ExtractSizes,6,0.3031,0.05051,0.00454,0.10282,256,20,32,0,0,0,100.0,thr,0.01
3y/1%,cuco::insert_if,3,0.1110,0.03699,0.03386,0.04253,128,5,37,48,0,0,75.0,shmem,0.00
3y/1%,cuco::init,3,0.0095,0.00318,0.00304,0.00333,256,490,24,0,0,0,100.0,thr,0.00
3y/1%,cub::ForEach,3,0.0043,0.00142,0.00128,0.00150,256,2,16,0,0,0,100.0,thr,0.00
