Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
3y/1%,Stage1,5,1081.1260,216.22520,22.95151,441.77729,256,373,44,0,0,0,62.5,reg,68.59
3y/1%,cuco::insert,3,217.5984,72.53280,71.94180,73.50666,128,15670,30,48,0,0,100.0,shmem,13.81
3y/1%,Stage3,5,204.8968,40.97935,2.45955,52.77110,16,12,47,0,0,0,50.0,reg,13.00
3y/1%,Stage2,5,50.6371,10.12743,4.11642,13.71477,16,12,63,0,0,0,50.0,reg,3.21
3y/1%,cuco::init,14899,13.4090,0.00090,0.00086,0.00115,256,1,16,0,0,0,100.0,thr,0.85
3y/1%,Stage4,5,6.2843,1.25686,0.47299,2.05328,16,12,42,0,0,0,50.0,reg,0.40
3y/1%,ExtractSizes,10,2.1022,0.21022,0.00134,0.64934,256,12,24,0,0,0,100.0,thr,0.13
3y/1%,cuco::insert_if,3,0.1219,0.04063,0.03686,0.04646,128,5,32,48,0,0,100.0,shmem,0.01
3y/1%,cuco::init,3,0.0073,0.00242,0.00237,0.00246,256,490,22,0,0,0,100.0,thr,0.00
3y/1%,cub::ForEach,3,0.0028,0.00093,0.00093,0.00093,256,2,16,0,0,0,100.0,thr,0.00
3y/3%,Stage1,5,1468.1109,293.62217,175.60303,450.16878,256,1140,44,0,0,0,62.5,reg,71.04
3y/3%,Stage3,5,257.2489,51.44979,49.92987,54.02630,16,36,47,0,0,0,50.0,reg,12.45
3y/3%,cuco::insert,3,223.7364,74.57880,66.98281,85.64233,128,16301,30,48,0,0,100.0,shmem,10.83
3y/3%,Stage2,5,68.8359,13.76719,12.12424,15.97461,16,36,63,0,0,0,50.0,reg,3.33
3y/3%,cuco::init,45583,40.9328,0.00090,0.00086,0.00118,256,1,16,0,0,0,100.0,thr,1.98
3y/3%,Stage4,5,7.0261,1.40522,0.59402,2.26115,16,36,42,0,0,0,50.0,reg,0.34
3y/3%,cuco::insert_if,3,0.4266,0.14221,0.10541,0.18880,128,14,32,48,0,0,100.0,shmem,0.02
3y/3%,ExtractSizes,10,0.2162,0.02162,0.00218,0.10547,256,36,24,0,0,0,100.0,thr,0.01
3y/3%,cuco::init,3,0.0074,0.00246,0.00243,0.00250,256,510,22,0,0,0,100.0,thr,0.00
3y/3%,cub::ForEach,3,0.0029,0.00096,0.00096,0.00096,256,4,16,0,0,0,100.0,thr,0.00
3y/6%,Stage1,5,1433.4266,286.68532,219.12227,491.84452,256,2347,44,0,0,0,62.5,reg,66.89
3y/6%,Stage3,5,277.2779,55.45558,50.37032,62.22499,16,73,47,0,0,0,50.0,reg,12.94
3y/6%,cuco::insert,3,249.3055,83.10183,78.36402,89.54434,128,17278,30,48,0,0,100.0,shmem,11.63
3y/6%,Stage2,5,87.4003,17.48006,12.19332,25.60483,16,73,63,0,0,0,50.0,reg,4.08
3y/6%,cuco::init,93895,84.1955,0.00090,0.00086,0.00122,256,1,16,0,0,0,100.0,thr,3.93
3y/6%,Stage4,5,9.8930,1.97860,0.92051,2.57853,16,73,42,0,0,0,50.0,reg,0.46
3y/6%,cuco::insert_if,3,0.8496,0.28320,0.12102,0.50525,128,30,32,48,0,0,100.0,shmem,0.04
3y/6%,ExtractSizes,10,0.6619,0.06619,0.00198,0.63411,256,73,24,0,0,0,100.0,thr,0.03
3y/6%,cuco::init,3,0.0078,0.00260,0.00240,0.00278,256,540,22,0,0,0,100.0,thr,0.00
3y/6%,cub::ForEach,3,0.0028,0.00095,0.00093,0.00096,256,7,16,0,0,0,100.0,thr,0.00
10y/1%,Stage1,19,4748.9084,249.94255,103.92560,470.00499,256,338,44,0,0,0,62.5,reg,70.56
10y/1%,Stage3,19,881.4700,46.39316,0.61398,62.76975,16,11,47,0,0,0,50.0,reg,13.10
10y/1%,cuco::insert,10,774.8970,77.48970,67.59823,92.58092,128,16231,30,48,0,0,100.0,shmem,11.51
10y/1%,Stage2,19,248.9877,13.10462,4.93827,17.34534,16,11,63,0,0,0,50.0,reg,3.70
10y/1%,cuco::init,51440,46.2966,0.00090,0.00086,0.00112,256,1,16,0,0,0,100.0,thr,0.69
10y/1%,Stage4,19,23.3866,1.23088,0.44749,1.82547,16,11,42,0,0,0,50.0,reg,0.35
10y/1%,ExtractSizes,38,6.1074,0.16072,0.00125,0.67715,256,11,24,0,0,0,100.0,thr,0.09
10y/1%,cuco::insert_if,10,0.4581,0.04581,0.02870,0.06589,128,5,32,48,0,0,100.0,shmem,0.01
10y/1%,cuco::init,10,0.0243,0.00243,0.00237,0.00256,256,507,22,0,0,0,100.0,thr,0.00
10y/1%,cub::ForEach,10,0.0094,0.00094,0.00093,0.00096,256,2,16,0,0,0,100.0,thr,0.00
10y/3%,Stage1,19,7748.5444,407.81813,199.29350,695.42166,256,1112,44,0,0,0,62.5,reg,74.92
10y/3%,Stage3,19,1158.3563,60.96612,50.66233,75.53518,16,35,47,0,0,0,50.0,reg,11.20
10y/3%,cuco::insert,10,861.8976,86.18976,67.38220,95.80763,128,18137,30,48,0,0,100.0,shmem,8.33
