Label,Kind,Ops,Bytes_MB,Time_ms,AvgSize_KB,MaxSize_KB,BW_GBs
3y/1%,H2D,109,214.1267,18.9416,1964.47,40514.24,11.3046
3y/1%,UVM_D2H,34,4.0632,0.1563,119.51,520.19,25.9960
3y/1%,UVM_H2D,220,4.0632,0.6431,18.47,258.05,6.3179
3y/1%,D2H,29825,3.9319,67.7409,0.13,160.48,0.0580
3y/3%,H2D,109,234.0053,20.4951,2146.84,42968.96,11.4176
3y/3%,D2H,91193,12.0771,210.3604,0.13,500.64,0.0574
3y/3%,UVM_H2D,270,8.9784,0.9345,33.25,1044.48,9.6079
3y/3%,UVM_D2H,45,1.5073,0.1366,33.50,126.98,11.0310
3y/6%,H2D,109,264.8608,22.8612,2429.92,46833.92,11.5856
3y/6%,D2H,187817,24.8864,433.2043,0.13,1060.42,0.0574
3y/6%,UVM_H2D,496,20.1851,1.8590,40.70,1044.48,10.8578
3y/6%,UVM_D2H,53,2.7525,0.1803,51.93,520.19,15.2696
10y/1%,H2D,382,781.7113,81.2994,2046.36,43436.96,9.6152
10y/1%,UVM_H2D,762,13.8936,2.2065,18.23,258.05,6.2967
10y/1%,UVM_D2H,139,13.6970,0.5911,98.54,520.19,23.1727
10y/1%,D2H,102977,13.6244,246.2481,0.13,172.03,0.0553
10y/3%,H2D,382,1004.0253,106.6826,2628.34,52846.64,9.4113
10y/3%,D2H,338219,44.7115,807.9535,0.13,615.71,0.0553
10y/3%,UVM_H2D,900,31.4573,3.1952,34.95,1044.48,9.8452
10y/3%,UVM_D2H,172,13.5004,0.6858,78.49,1044.48,19.6842
10y/6%,H2D,390,1400.8207,152.7829,3591.85,70421.12,9.1687
10y/6%,D2H,777584,103.1030,1857.0512,0.13,1594.46,0.0555
10y/6%,UVM_H2D,2497,75.6285,8.5354,30.29,1044.48,8.8606
10y/6%,UVM_D2H,212,12.3208,0.7644,58.12,1044.48,16.1183
30y/1%,H2D,1162,2991.0964,256.8465,2574.09,53002.16,11.6455
30y/1%,UVM_H2D,2241,45.4820,6.5926,20.30,258.05,6.8990
30y/1%,D2H,342347,45.1698,789.6534,0.13,209.92,0.0572
30y/1%,UVM_D2H,440,44.5645,1.8852,101.28,520.19,23.6387
30y/3%,H2D,1314,5670.7026,487.5985,4315.60,95448.16,11.6299
30y/3%,D2H,1403554,185.4387,3247.5419,0.13,1112.03,0.0571
30y/3%,UVM_H2D,7449,169.6727,22.6685,22.78,1044.48,7.4850
30y/3%,UVM_D2H,618,138.2154,4.0854,223.65,1044.48,33.8312
30y/6%,H2D,1922,12930.0980,1121.4736,6727.42,225851.12,11.5296
30y/6%,D2H,4663856,616.8253,10834.5942,0.13,5113.63,0.0569
30y/6%,UVM_H2D,15013,452.6572,53.0234,30.15,1044.48,8.5369
30y/6%,UVM_D2H,1629,147.4560,6.7456,90.52,1044.48,21.8597
