Label,Session_ms,Kernel_ms,Memcpy_ms,GPU_util_pct,Memcpy_ovh_pct,Total_MB,EffBW_GBs,BW_pct,Kernel_launches,Sync_ms,Profiler_ovh_ms
3y/1%,18839.683,3781.447,299.831,20.07,7.93,227.266,0.7580,0.02260,14929,3539.395,142.490
3y/3%,28545.325,3841.925,884.524,13.46,23.02,275.682,0.3120,0.00930,45613,3560.046,181.119
3y/5%,41989.233,7806.405,1511.702,18.59,19.36,316.298,0.2090,0.00620,77530,7475.500,163.215
3y/6%,46101.931,7676.538,1827.519,16.65,23.81,340.654,0.1860,0.00560,93943,7314.991,181.258
10y/1%,52333.404,13213.829,1030.836,25.25,7.80,825.097,0.8000,0.02390,51540,12357.749,148.146
10y/3%,89569.803,15752.080,3271.068,17.59,20.77,1142.254,0.3490,0.01040,169161,14675.828,188.783
10y/5%,158293.244,41615.369,5993.537,26.29,14.40,1503.104,0.2510,0.00750,309316,40236.154,215.052
10y/6%,194832.500,52190.671,7520.873,26.79,14.41,1722.393,0.2290,0.00680,388944,50661.026,215.838
30y/1%,163354.828,46654.524,3537.166,28.56,7.58,3137.309,0.8870,0.02650,171325,43835.025,211.898
30y/3%,498131.373,165548.655,14042.485,33.23,8.48,6244.360,0.4450,0.01330,702032,160900.957,304.176
30y/5%,1518466.306,826113.626,32394.237,54.40,3.92,11351.298,0.3500,0.01050,1633905,818676.138,434.618
30y/6%,2759972.811,1755048.348,46185.720,63.59,2.63,14993.063,0.3250,0.00970,2333113,1745546.074,586.053
