Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
3y/1%,Stage1,3,4408.6722,1469.55739,1306.78119,1728.59848,16,20,62,0,0,0,50.0,reg,72.16
3y/1%,Stage3,3,1297.6242,432.54139,425.68103,440.88257,16,20,92,0,0,0,32.8,reg,21.24
3y/1%,cuco::insert,3,286.1731,95.39103,84.94924,106.91492,128,15670,36,48,0,0,75.0,shmem,4.68
3y/1%,Stage2,3,91.2361,30.41203,27.99669,34.42355,16,20,92,0,0,0,32.8,reg,1.49
3y/1%,cuco::init,14899,19.9730,0.00134,0.00131,0.00246,256,1,10,0,0,0,100.0,thr,0.33
3y/1%,Stage4,3,5.2465,1.74882,1.61652,1.89940,16,20,75,0,0,0,39.1,reg,0.09
3y/1%,ExtractSizes,6,0.6801,0.11335,0.00579,0.22403,256,20,32,0,0,0,100.0,thr,0.01
3y/1%,cuco::insert_if,3,0.3068,0.10227,0.08915,0.12061,128,5,37,48,0,0,75.0,shmem,0.01
3y/1%,cuco::init,3,0.0430,0.01434,0.01347,0.01482,256,490,24,0,0,0,100.0,thr,0.00
3y/1%,cub::ForEach,3,0.0057,0.00191,0.00173,0.00202,256,2,10,0,0,0,100.0,thr,0.00
3y/3%,Stage1,3,4624.0169,1541.33898,1268.53847,1984.07876,16,60,62,0,0,0,50.0,reg,68.50
3y/3%,Stage3,3,1685.7551,561.91837,539.25770,592.44008,16,60,92,0,0,0,32.8,reg,24.97
3y/3%,cuco::insert,3,261.0095,87.00318,79.84275,91.90802,128,16301,36,48,0,0,75.0,shmem,3.87
3y/3%,Stage2,3,109.7507,36.58356,24.81494,44.38990,16,60,92,0,0,0,32.8,reg,1.63
3y/3%,cuco::init,45583,60.8904,0.00134,0.00131,0.00259,256,1,10,0,0,0,100.0,thr,0.90
3y/3%,Stage4,3,6.6784,2.22615,2.19892,2.26112,16,60,75,0,0,0,39.1,reg,0.10
3y/3%,ExtractSizes,6,1.5011,0.25018,0.01021,0.51929,256,60,32,0,0,0,100.0,thr,0.02
3y/3%,cuco::insert_if,3,0.8839,0.29464,0.23232,0.34886,128,14,37,48,0,0,75.0,shmem,0.01
3y/3%,cuco::init,3,0.0450,0.01500,0.01376,0.01581,256,510,24,0,0,0,100.0,thr,0.00
3y/3%,cub::ForEach,3,0.0059,0.00195,0.00173,0.00211,256,4,10,0,0,0,100.0,thr,0.00
3y/5%,Stage1,6,10990.4098,1831.73497,1672.05614,2079.72371,16,51,62,0,0,0,50.0,reg,73.29
3y/5%,Stage3,6,3298.5697,549.76162,441.06416,686.04660,16,51,92,0,0,0,32.8,reg,22.00
3y/5%,cuco::insert,3,330.2589,110.08632,105.68859,117.16527,128,16948,36,48,0,0,75.0,shmem,2.20
3y/5%,Stage2,6,257.9523,42.99206,21.11667,59.17478,16,51,92,0,0,0,32.8,reg,1.72
3y/5%,cuco::init,77482,103.5958,0.00134,0.00131,0.01034,256,1,10,0,0,0,100.0,thr,0.69
3y/5%,Stage4,6,12.2124,2.03540,1.66667,2.33434,16,51,75,0,0,0,39.1,reg,0.08
3y/5%,ExtractSizes,12,2.2072,0.18394,0.00723,0.48310,256,51,32,0,0,0,100.0,thr,0.01
3y/5%,cuco::insert_if,3,1.2602,0.42007,0.26361,0.53087,128,25,37,48,0,0,75.0,shmem,0.01
3y/5%,cuco::init,3,0.0446,0.01488,0.01373,0.01555,256,530,24,0,0,0,100.0,thr,0.00
3y/5%,cub::ForEach,3,0.0060,0.00199,0.00195,0.00205,256,6,10,0,0,0,100.0,thr,0.00
3y/6%,Stage1,6,9915.3178,1652.55297,1462.47721,1766.31359,16,61,62,0,0,0,50.0,reg,70.30
3y/6%,Stage3,6,3489.7045,581.61741,455.35838,710.05933,16,61,92,0,0,0,32.8,reg,24.74
3y/6%,cuco::insert,3,294.5925,98.19749,90.51040,110.21426,128,17278,36,48,0,0,75.0,shmem,2.09
3y/6%,Stage2,6,263.4439,43.90732,27.78684,56.11507,16,61,92,0,0,0,32.8,reg,1.87
3y/6%,cuco::init,93895,125.6313,0.00134,0.00131,0.00291,256,1,10,0,0,0,100.0,thr,0.89
3y/6%,Stage4,6,12.6096,2.10160,1.58945,2.66438,16,61,75,0,0,0,39.1,reg,0.09
