Label,Kind,Ops,Bytes_MB,Time_ms,AvgSize_KB,MaxSize_KB,BW_GBs
3y/1%,H2D,178833,215.4190,103.6016,1.20,40514.24,2.0793
3y/1%,UVM_H2D,177,4.7186,0.5467,26.66,253.95,8.6317
3y/1%,D2H,59611,4.4540,70.6596,0.07,160.48,0.0630
3y/1%,UVM_D2H,69,2.5559,0.2498,37.04,126.98,10.2312
3y/3%,H2D,547041,237.8933,271.9592,0.43,42968.96,0.8747
3y/3%,UVM_H2D,558,14.1558,1.6533,25.37,1040.38,8.5619
3y/3%,D2H,182347,13.6085,215.9716,0.07,500.64,0.0630
3y/3%,UVM_D2H,91,9.8304,0.8210,108.03,978.94,11.9742
3y/5%,H2D,929844,261.2442,438.7086,0.28,45520.88,0.5955
3y/5%,D2H,309952,23.3483,367.0216,0.08,867.07,0.0636
3y/5%,UVM_H2D,604,22.1512,2.4207,36.67,1032.19,9.1508
3y/5%,UVM_D2H,181,11.4033,1.0173,63.00,520.19,11.2090
3y/6%,H2D,1126800,273.2250,529.9433,0.24,46833.92,0.5156
3y/6%,D2H,375604,28.3755,444.7823,0.08,1060.42,0.0638
3y/6%,UVM_H2D,804,28.1805,3.1158,35.05,1040.38,9.0443
3y/6%,UVM_D2H,201,15.4665,1.3421,76.95,978.94,11.5237
10y/1%,H2D,617430,785.5963,363.4043,1.27,43436.96,2.1618
10y/1%,UVM_H2D,574,15.7286,1.8254,27.40,253.95,8.6164
10y/1%,D2H,205810,15.3296,243.6219,0.07,172.03,0.0629
10y/1%,UVM_D2H,237,8.5197,0.8403,35.95,126.98,10.1395
10y/3%,H2D,2028882,1019.5404,1016.1369,0.50,52846.64,1.0033
10y/3%,D2H,676294,50.9555,801.8469,0.08,615.71,0.0635
10y/3%,UVM_H2D,1519,44.4989,5.0672,29.29,1044.48,8.7817
10y/3%,UVM_D2H,329,28.3771,2.4289,86.25,1044.48,11.6830
10y/5%,H2D,3709871,1285.0604,1808.8015,0.35,64052.80,0.7104
10y/5%,D2H,1236641,92.6663,1461.3478,0.07,1220.06,0.0634
10y/5%,UVM_H2D,2575,81.9855,9.2702,31.84,1036.29,8.8440
10y/5%,UVM_D2H,653,47.1204,4.1383,72.16,1044.48,11.3863
10y/6%,H2D,4665139,1435.8801,2252.1685,0.31,70421.12,0.6376
10y/6%,D2H,1555069,117.2519,1840.3517,0.08,1594.46,0.0637
10y/6%,UVM_H2D,3606,106.4305,12.2746,29.51,1044.48,8.6708
10y/6%,UVM_D2H,815,66.2569,5.7254,81.30,1044.48,11.5724
30y/1%,H2D,2052750,3017.5492,1280.9385,1.47,53002.16,2.3557
30y/1%,D2H,684250,52.1325,810.5549,0.08,209.92,0.0643
30y/1%,UVM_H2D,1886,46.6616,5.6307,24.74,520.19,8.2870
30y/1%,UVM_D2H,590,27.2630,2.5609,46.21,323.58,10.6459
30y/3%,H2D,8419760,5733.0981,4609.8819,0.68,95448.16,1.2437
30y/3%,D2H,2806616,210.4036,3319.9615,0.07,1112.03,0.0634
30y/3%,UVM_H2D,6238,189.1369,21.3864,30.32,1044.48,8.8438
30y/3%,UVM_D2H,1500,115.0812,10.0428,76.72,1044.48,11.4591
30y/5%,H2D,19595871,10065.0911,10279.8115,0.51,169952.40,0.9791
30y/5%,D2H,6532113,489.7814,7743.5773,0.07,3237.22,0.0633
30y/5%,UVM_H2D,14699,461.8977,52.4281,31.42,1044.48,8.8101
30y/5%,UVM_D2H,4179,277.6105,24.7436,66.43,1044.48,11.2195
30y/6%,H2D,22879893,11567.9883,12074.9635,0.51,201006.64,0.9580
30y/6%,D2H,7515993,567.6244,8922.6839,0.08,4293.50,0.0636
30y/6%,UVM_H2D,16726,541.1963,61.0694,32.36,1044.48,8.8620
30y/6%,UVM_D2H,5192,323.0269,29.1135,62.22,1044.48,11.0954
