Label,Session_ms,Kernel_ms,Memcpy_ms,GPU_util_pct,Memcpy_ovh_pct,Total_MB,EffBW_GBs,BW_pct,Kernel_launches,Sync_ms,Profiler_ovh_ms
3y/1%,26073.353,6109.961,175.058,23.43,2.87,227.147,1.2980,0.17720,14929,5803.611,420.478
3y/3%,39828.876,6750.537,490.405,16.95,7.26,275.488,0.5620,0.07670,45613,6427.906,453.893
3y/5%,60837.317,14996.517,809.168,24.65,5.40,318.147,0.3930,0.05370,77530,14561.700,439.793
3y/6%,67841.382,14104.983,979.184,20.79,6.94,345.247,0.3530,0.04820,93943,13683.743,460.921
10y/1%,68337.491,21622.007,609.692,31.64,2.82,825.174,1.3530,0.18490,51540,20643.800,438.123
10y/3%,134607.755,31382.195,1825.480,23.31,5.82,1143.372,0.6260,0.08550,169161,30087.960,453.573
10y/5%,248641.383,80371.067,3283.558,32.32,4.09,1506.833,0.4590,0.06270,309316,78627.346,479.677
10y/6%,310412.664,105572.624,4110.520,34.01,3.89,1725.819,0.4200,0.05730,388944,103678.512,458.807
30y/1%,234389.080,78569.322,2099.685,33.52,2.67,3143.606,1.4970,0.20450,171325,75169.342,449.952
30y/3%,821058.752,360716.766,7961.273,43.93,2.21,6247.720,0.7850,0.10720,702032,355010.060,463.704
30y/5%,3311519.731,2282492.396,18100.561,68.93,0.79,11294.381,0.6240,0.08520,1633905,2273117.451,473.702
30y/6%,4272773.182,3122993.838,21087.830,73.09,0.68,12999.836,0.6160,0.08420,1879995,3113003.397,467.573
