Label,Kernel,Launches,Total_ms,Avg_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
3e/1%,Stage1,2,630.8921,315.44604,256,615,44,0,0,0,62.5,reg,34.91
3e/1%,Stage1,1,453.0482,453.04819,256,612,44,0,0,0,62.5,reg,25.07
3e/1%,Stage1,1,156.2891,156.28907,256,16,44,0,0,0,62.5,reg,8.65
3e/1%,Stage3,3,152.2239,50.74129,256,20,47,0,0,0,62.5,reg,8.42
3e/1%,Stage1,1,80.5522,80.55225,256,7,44,0,0,0,62.5,reg,4.46
3e/1%,insert,1,73.0779,73.07786,128,15514,30,48,0,0,100.0,reg,4.04
3e/1%,insert,1,72.399,72.39904,128,15670,30,48,0,0,100.0,reg,4.01
3e/1%,insert,1,69.6334,69.63338,128,15826,30,48,0,0,100.0,reg,3.85
3e/1%,Stage3,2,54.031,27.01548,256,1,47,0,0,0,62.5,reg,2.99
3e/1%,Stage2,3,32.02,10.67333,256,20,63,0,0,0,50.0,reg,1.77
3e/1%,static_kernel,14896,13.3441,0.0009,256,1,16,0,0,0,100.0,thr,0.74
3e/1%,Stage2,2,11.4455,5.72275,256,1,63,0,0,0,50.0,reg,0.63
3e/1%,Stage4,3,5.013,1.67101,256,20,42,0,0,0,62.5,reg,0.28
3e/1%,kernel_extract_vector_sizes,6,1.9386,0.3231,256,20,24,0,0,0,100.0,thr,0.11
3e/1%,Stage4,2,0.9377,0.46883,256,1,42,0,0,0,62.5,reg,0.05
3e/1%,insert_if_n,3,0.1334,0.04447,128,5,32,48,0,0,100.0,reg,0.01
3e/1%,kernel_extract_vector_sizes,4,0.1239,0.03098,256,1,24,0,0,0,100.0,thr,0.01
3e/1%,static_kernel,6,0.0056,0.00093,256,2,16,0,0,0,100.0,thr,0.0
3e/1%,initialize,1,0.0024,0.0024,256,490,22,0,0,0,100.0,thr,0.0
3e/1%,initialize,1,0.0024,0.0024,256,495,22,0,0,0,100.0,thr,0.0
3e/1%,initialize,1,0.0023,0.00234,256,485,22,0,0,0,100.0,thr,0.0
3e/3%,Stage1,1,602.9802,602.98022,256,1816,44,0,0,0,62.5,reg,29.89
3e/3%,Stage1,2,444.1493,222.07466,256,1844,44,0,0,0,62.5,reg,22.02
3e/3%,Stage1,1,199.4751,199.47507,256,140,44,0,0,0,62.5,reg,9.89
