Label,Years,Growth,Kernel,Launches,Total_s,SharePct,AvgGrid,AvgBlock
3e/1%,3,1,Stage1,5,1.3208,73.09,373.0,256.0
3e/1%,3,1,insert,3,0.2151,11.9,15670.0,128.0
3e/1%,3,1,Stage3,5,0.2063,11.41,12.4,256.0
3e/1%,3,1,Stage2,5,0.0435,2.41,12.4,256.0
3e/1%,3,1,static_kernel,14902,0.0133,0.74,1.0,256.0
3e/1%,3,1,Stage4,5,0.006,0.33,12.4,256.0
3e/1%,3,1,ExtractSizes,10,0.0021,0.11,12.4,256.0
3e/1%,3,1,insert_if_n,3,0.0001,0.01,5.0,128.0
3e/1%,3,1,initialize,3,0.0,0.0,490.0,256.0
3e/3%,3,3,Stage1,5,1.419,70.34,1140.0,256.0
3e/3%,3,3,Stage3,5,0.2585,12.81,36.0,256.0
3e/3%,3,3,insert,3,0.2224,11.02,16301.0,128.0
3e/3%,3,3,Stage2,5,0.0685,3.39,36.0,256.0
3e/3%,3,3,static_kernel,45586,0.0409,2.03,1.0,256.0
3e/3%,3,3,Stage4,5,0.0074,0.37,36.0,256.0
3e/3%,3,3,insert_if_n,3,0.0005,0.03,14.7,128.0
3e/3%,3,3,ExtractSizes,10,0.0002,0.01,36.0,256.0
3e/3%,3,3,initialize,3,0.0,0.0,510.0,256.0
3e/6%,3,6,Stage1,5,1.3781,66.23,2347.8,256.0
3e/6%,3,6,Stage3,5,0.2814,13.52,73.8,256.0
3e/6%,3,6,insert,3,0.2465,11.84,17278.7,128.0
3e/6%,3,6,static_kernel,93898,0.0842,4.05,1.0,256.0
3e/6%,3,6,Stage2,5,0.0793,3.81,73.8,256.0
3e/6%,3,6,Stage4,5,0.0099,0.47,73.8,256.0
3e/6%,3,6,insert_if_n,3,0.0008,0.04,30.0,128.0
3e/6%,3,6,ExtractSizes,10,0.0007,0.03,73.8,256.0
3e/6%,3,6,initialize,3,0.0,0.0,540.3,256.0
10e/1%,10,1,Stage1,19,6.0094,75.03,338.8,256.0
10e/1%,10,1,Stage3,19,0.8879,11.09,11.1,256.0
10e/1%,10,1,insert,10,0.778,9.71,16231.6,128.0
10e/1%,10,1,Stage2,19,0.2559,3.19,11.1,256.0
10e/1%,10,1,static_kernel,51450,0.047,0.59,1.0,256.0
10e/1%,10,1,Stage4,19,0.0237,0.3,11.1,256.0
10e/1%,10,1,ExtractSizes,38,0.0067,0.08,11.1,256.0
10e/1%,10,1,insert_if_n,10,0.0005,0.01,5.1,128.0
10e/1%,10,1,initialize,10,0.0,0.0,507.6,256.0
10e/3%,10,3,Stage1,19,7.7874,75.05,1112.6,256.0
10e/3%,10,3,Stage3,19,1.1691,11.27,35.3,256.0
10e/3%,10,3,insert,10,0.858,8.27,18137.8,128.0
10e/3%,10,3,Stage2,19,0.3704,3.57,35.3,256.0
10e/3%,10,3,static_kernel,169071,0.1541,1.49,1.0,256.0
10e/3%,10,3,Stage4,19,0.0288,0.28,35.3,256.0
10e/3%,10,3,ExtractSizes,38,0.0062,0.06,35.3,256.0
10e/3%,10,3,insert_if_n,10,0.0018,0.02,16.4,128.0
