Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
3y/1%,Stage1,3,3079.8563,1026.61876,981.86743,1060.15292,16,20,110,0,0,0,28.1,reg,82.81
3y/1%,Stage3,3,365.1350,121.71167,115.63383,125.07576,16,20,118,0,0,0,26.6,reg,9.82
3y/1%,cuco::insert,3,221.1100,73.70333,69.84244,80.63432,128,15670,36,48,0,0,75.0,shmem,5.95
3y/1%,Stage2,3,31.1978,10.39928,8.16769,12.81956,16,20,118,0,0,0,26.6,reg,0.84
3y/1%,cuco::init,14899,18.1656,0.00122,0.00109,0.00163,256,1,16,0,0,0,100.0,thr,0.49
3y/1%,Stage4,3,3.1409,1.04697,1.00941,1.08314,16,20,107,0,0,0,28.1,reg,0.08
3y/1%,ExtractSizes,6,0.3031,0.05051,0.00454,0.10282,256,20,32,0,0,0,100.0,thr,0.01
3y/1%,cuco::insert_if,3,0.1110,0.03699,0.03386,0.04253,128,5,37,48,0,0,75.0,shmem,0.00
3y/1%,cuco::init,3,0.0095,0.00318,0.00304,0.00333,256,490,24,0,0,0,100.0,thr,0.00
3y/1%,cub::ForEach,3,0.0043,0.00142,0.00128,0.00150,256,2,16,0,0,0,100.0,thr,0.00
10y/1%,Stage1,10,10992.8533,1099.28533,911.03146,1389.34256,16,20,110,0,0,0,28.1,reg,82.49
10y/1%,Stage3,10,1325.1135,132.51135,116.39443,145.16901,16,20,118,0,0,0,26.6,reg,9.94
10y/1%,cuco::insert,10,793.8289,79.38289,68.43017,98.97666,128,16231,36,48,0,0,75.0,shmem,5.96
10y/1%,Stage2,10,139.7616,13.97616,9.49011,17.14545,16,20,118,0,0,0,26.6,reg,1.05
10y/1%,cuco::init,51440,62.6915,0.00122,0.00109,0.00173,256,1,16,0,0,0,100.0,thr,0.47
10y/1%,Stage4,10,10.3815,1.03815,0.89853,1.18922,16,20,107,0,0,0,28.1,reg,0.08
10y/1%,ExtractSizes,20,0.8776,0.04388,0.00442,0.10022,256,20,32,0,0,0,100.0,thr,0.01
10y/1%,cuco::insert_if,10,0.4240,0.04240,0.02144,0.08131,128,5,37,48,0,0,75.0,shmem,0.00
10y/1%,cuco::init,10,0.0305,0.00305,0.00294,0.00320,256,507,24,0,0,0,100.0,thr,0.00
10y/1%,cub::ForEach,10,0.0142,0.00142,0.00128,0.00157,256,2,16,0,0,0,100.0,thr,0.00
30y/1%,Stage1,30,39457.2965,1315.24321,928.30673,1976.08422,16,22,110,0,0,0,28.1,reg,82.66
30y/1%,Stage3,30,4818.4971,160.61657,118.46719,208.17624,16,22,118,0,0,0,26.6,reg,10.09
30y/1%,cuco::insert,30,2617.8777,87.26259,51.02532,123.16416,128,17989,36,48,0,0,75.0,shmem,5.48
30y/1%,Stage2,30,598.2645,19.94215,8.54973,84.64192,16,22,118,0,0,0,26.6,reg,1.25
30y/1%,cuco::init,171025,208.0245,0.00122,0.00109,0.00173,256,1,16,0,0,0,100.0,thr,0.44
30y/1%,Stage4,30,29.3053,0.97684,0.86912,1.12394,16,22,107,0,0,0,28.1,reg,0.06
30y/1%,ExtractSizes,60,2.4317,0.04053,0.00429,0.15555,256,22,32,0,0,0,100.0,thr,0.01
30y/1%,cuco::insert_if,30,1.7787,0.05929,0.02710,0.10995,128,5,37,48,0,0,75.0,shmem,0.00
30y/1%,cuco::init,30,0.0976,0.00325,0.00285,0.00365,256,562,24,0,0,0,100.0,thr,0.00
30y/1%,cub::ForEach,30,0.0448,0.00149,0.00128,0.00186,256,2,16,0,0,0,100.0,thr,0.00
