Label,Kind,Ops,Bytes_MB,Time_ms,AvgSize_KB,MaxSize_KB,BW_GBs
3y/1%,H2D,178833,215.4794,151.4265,1.20,40514.24,1.4230
3y/1%,UVM_H2D,142,4.7186,0.4252,33.23,241.66,11.0985
3y/1%,D2H,59611,4.5189,143.5132,0.08,160.48,0.0315
3y/1%,UVM_D2H,69,2.5559,0.2187,37.04,126.98,11.6861
10y/1%,H2D,617430,785.8857,525.7258,1.27,43436.96,1.4949
10y/1%,UVM_H2D,455,15.7286,1.4074,34.57,241.66,11.1755
10y/1%,D2H,205810,15.3964,494.7694,0.07,172.03,0.0311
10y/1%,UVM_D2H,237,8.5197,0.7472,35.95,126.98,11.4026
30y/1%,H2D,2052750,3005.0095,1784.1378,1.46,53002.16,1.6843
30y/1%,D2H,684250,51.2591,1617.7887,0.07,209.92,0.0317
30y/1%,UVM_H2D,1471,47.3825,4.3637,32.21,520.19,10.8584
30y/1%,UVM_D2H,594,27.3940,1.9721,46.12,323.58,13.8909
